,S_NO,NAME,UNIT_NO,DT_ COMM,CAPACITY MW AS ON 31/03/2023,TYPE,STATE,SECTOR,SYSTEM,Fuel1,Fuel2,NET GENERATION(MU),Fuel 1 Consumption (if coal: only national coal) ,Fuel 1 Consumption (only for imported coal),Fuel 2 Consumption,CO2(ton) FUEL-1,"CO2(ton)
FUEL-2",TOTAL CO2(ton),Emission factor (ton/MWh),CDM Registry
,34.00,KATHALGURI GT,2.00,22-03-1995,33.50,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,211.45,63.72,0.00,0.00,121159.18,0.00,121159.18,0.57,
,34.00,KATHALGURI GT,3.00,30-06-1995,33.50,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,174.21,51.24,0.00,0.00,97442.41,0.00,97442.41,0.56,
,34.00,KATHALGURI GT,4.00,30-07-1995,33.50,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,212.70,62.57,0.00,0.00,118974.78,0.00,118974.78,0.56,
,34.00,KATHALGURI GT,5.00,02-03-1996,33.50,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,165.19,50.97,0.00,0.00,96922.45,0.00,96922.45,0.59,
,34.00,KATHALGURI GT,6.00,15-10-1996,33.50,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,195.30,60.26,0.00,0.00,114593.46,0.00,114593.46,0.59,
,34.00,KATHALGURI GT,7.00,01-03-1998,30.00,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,171.07,51.55,0.00,0.00,98023.16,0.00,98023.16,0.57,
,34.00,KATHALGURI GT,8.00,28-03-1998,30.00,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,167.74,49.34,0.00,0.00,93827.69,0.00,93827.69,0.56,
,34.00,KATHALGURI GT,9.00,05-07-1998,30.00,THERMAL,ASSAM,CENTER,NEEPCO,GAS,-,132.16,40.78,0.00,0.00,77546.49,0.00,77546.49,0.59,
,35.00,KAWAS GT,0.00,,656.20,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,616.05,168.25,0.00,0.12,334280.73,345.82,334626.55,0.54,
,35.00,KAWAS GT,1.00,22-05-1992,106.00,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,125.76,34.35,0.00,0.02,68246.91,62.88,68309.79,0.54,
,35.00,KAWAS GT,2.00,22-03-1992,106.00,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,92.80,25.34,0.00,0.02,50345.76,62.88,50408.63,0.54,
,35.00,KAWAS GT,3.00,23-02-1993,106.00,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,115.39,31.52,0.00,0.02,62624.24,62.88,62687.12,0.54,
,35.00,KAWAS GT,4.00,27-08-1992,106.00,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,132.50,36.19,0.00,0.03,71902.64,94.31,71996.96,0.54,
,35.00,KAWAS GT,5.00,30-01-1992,116.10,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,72.40,19.77,0.00,0.01,39279.23,31.44,39310.67,0.54,
,35.00,KAWAS GT,6.00,19-03-1993,116.10,THERMAL,GUJARAT,CENTER,NTPC,GAS,NAPT,77.20,21.08,0.00,0.01,41881.95,31.44,41913.39,0.54,
,36.00,KOJIKODE DG,0.00,,96.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,36.00,KOJIKODE DG,2,01-09-1999,16.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,  
,36.00,KOJIKODE DG,3,01-09-1999,16.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,36.00,KOJIKODE DG,5,01-09-1999,16.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,36.00,KOJIKODE DG,6,01-09-1999,16.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,36.00,KOJIKODE DG,7,01-09-1999,16.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,36.00,KOJIKODE DG,8,01-09-1999,16.00,THERMAL,KERALA,STATE,KSEB,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,37.00,KONASEEMA CCCP,0.00,,445.00,THERMAL,ANDHRA PRADESH,PVT,KONASEEMA,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,37.00,KONASEEMA CCCP,1.00,31-03-2009,140.00,THERMAL,ANDHRA PRADESH,PVT,KONASEEMA,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#6506
,37.00,KONASEEMA CCCP,2.00,30-06-2023,140.00,THERMAL,ANDHRA PRADESH,PVT,KONASEEMA,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#6506
,37.00,KONASEEMA CCCP,3.00,30-06-2010,165.00,THERMAL,ANDHRA PRADESH,PVT,KONASEEMA,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#6506
,38.00,KONDAPALLI GT,0.00,,1476.15,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,38.00,KONDAPALLI GT,1.00,25-10-2000,118.65,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,38.00,KONDAPALLI GT,2.00,25-10-2000,121.29,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,38.00,KONDAPALLI GT,3.00,25-10-2000,128.21,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,38.00,KONDAPALLI GT,4.00,05-12-2009,233.00,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#5554
,38.00,KONDAPALLI WHR,5.00,19-07-2010,133.00,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#5554
,38.00,KONDAPALLI  ST-3 CCPP,6.00,07-08-2015,371.00,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#8323
,38.00,KONDAPALLI  ST-3 CCPP,7.00,05-09-2015,371.00,THERMAL,ANDHRA PRADESH,PVT,LANCO,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#8323
,39.00,KOVILKALAPPAL,0.00,,107.88,THERMAL,TAMIL NADU,STATE,TNEB,GAS,-,34.62,20.04,0.00,0.00,43619.68,0.00,43619.68,1.26,
,39.00,KOVILKALAPPAL GT,1.00,14-07-2001,69.65,THERMAL,TAMIL NADU,STATE,TNEB,GAS,-,22.35,12.94,0.00,0.00,28161.95,0.00,28161.95,1.26,
,39.00,KOVILKALAPPAL ST,2.00,15-07-2001,38.23,THERMAL,TAMIL NADU,STATE,TNEB,GAS,-,12.27,7.10,0.00,0.00,15457.74,0.00,15457.74,1.26,
,40.00,KUTTALAM GT,0.00,,100.00,THERMAL,TAMIL NADU,STATE,TNEB,GAS,-,649.79,136.73,0.00,0.00,293854.26,0.00,293854.26,0.45,
,40.00,KUTTALAM GT,1.00,27-11-2003,63.00,THERMAL,TAMIL NADU,STATE,TNEB,GAS,-,436.95,91.94,0.00,0.00,197607.96,0.00,197607.96,0.45,
,40.00,KUTTALAM GT,2.00,24-03-2004,37.00,THERMAL,TAMIL NADU,STATE,TNEB,GAS,-,212.84,44.78,0.00,0.00,96246.30,0.00,96246.30,0.45,
,41.00,L.V.S. Diesel Power Station,0.00,,36.80,THERMAL,ANDHRA PRADESH,PVT,LVS POWER,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,41.00,L.V.S. Diesel Power Station,1.00,18-10-2001,18.40,THERMAL,ANDHRA PRADESH,PVT,LVS POWER,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,41.00,L.V.S. Diesel Power Station,2.00,18-10-2001,18.40,THERMAL,ANDHRA PRADESH,PVT,LVS POWER,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,42.00,LAKSHADWEEP DG,0.00,,0.00,THERMAL,Lashasweep,PVT,STATE,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,42.00,LAKSHADWEEP DG,1.00,31-03-2022,0.00,THERMAL,LAKSHADWEEP,PVT,STATE,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,43.00,LAKWA GT,0.00,,97.20,THERMAL,ASSAM,STATE,APGCL,GAS,-,339.98,100.92,0.00,0.00,197653.56,0.00,197653.56,0.58,
,43.00,LAKWA GT,5.00,03-01-1994,20.00,THERMAL,ASSAM,STATE,APGCL,GAS,-,96.73,28.71,0.00,0.00,56237.04,0.00,56237.04,0.58,
,43.00,LAKWA GT,6.00,26-07-1994,20.00,THERMAL,ASSAM,STATE,APGCL,GAS,-,99.50,29.54,0.00,0.00,57845.64,0.00,57845.64,0.58,
,43.00,LAKWA GT,7.00,24-05-1999,20.00,THERMAL,ASSAM,STATE,APGCL,GAS,-,37.30,11.07,0.00,0.00,21685.20,0.00,21685.20,0.58,
,43.00,LAKWA GT WHR,8.00,01-09-2011,37.20,THERMAL,ASSAM,STATE,APGCL,GAS,-,106.45,31.60,0.00,0.00,61885.68,0.00,61885.68,0.58,
,44.00,LAKWA GT (Ph-II),0.00,,69.76,THERMAL,ASSAM,STATE,APGCL,GAS,-,466.93,111.02,0.00,0.00,217432.22,0.00,217432.22,0.47,
,44.00,LAKWA GT (Ph-II),9.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,68.97,16.40,0.00,0.00,32117.88,0.00,32117.88,0.47,
,44.00,LAKWA GT (Ph-II),10.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,69.66,16.56,0.00,0.00,32440.47,0.00,32440.47,0.47,
,44.00,LAKWA GT (Ph-II),11.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,72.14,17.15,0.00,0.00,33593.20,0.00,33593.20,0.47,
,44.00,LAKWA GT (Ph-II),12.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,60.60,14.41,0.00,0.00,28217.76,0.00,28217.76,0.47,
,44.00,LAKWA GT (Ph-II),13.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,59.46,14.14,0.00,0.00,27686.25,0.00,27686.25,0.47,
,44.00,LAKWA GT (Ph-II),14.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,69.56,16.54,0.00,0.00,32390.49,0.00,32390.49,0.47,
,44.00,LAKWA GT (Ph-II),15.00,26-04-2018,9.97,THERMAL,ASSAM,STATE,APGCL,GAS,-,66.54,15.82,0.00,0.00,30986.16,0.00,30986.16,0.47,
,45.00,LEIMAKHONG DG,0.00,,36.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,45.00,LEIMAKHONG DG,1.00,01-04-1985,6.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,45.00,LEIMAKHONG DG,2.00,23-03-2002,6.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,45.00,LEIMAKHONG DG,3.00,23-03-2002,6.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,45.00,LEIMAKHONG DG,4.00,23-03-2002,6.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,45.00,LEIMAKHONG DG,5.00,23-03-2002,6.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,45.00,LEIMAKHONG DG,6.00,23-03-2002,6.00,THERMAL,MANIPUR,STATE,MPDC,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,46.00,MANGAON CCPP,0.00,,388.00,THERMAL,MAHARASHTRA,PVT,PGPL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,46.00,MANGAON CCPP ,1.00,14-07-2016,388.00,THERMAL,MAHARASHTRA,PVT,PGPL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CDM#9124
,47.00,MONARCHAK CCPP,0.00,,101.02,THERMAL,TRIPURA,CENTER,NEEPCO/NTPC JV,GAS,-,635.31,150.60,0.00,0.00,285612.86,0.00,285612.86,0.45,
,47.00,MONARCHAK CCPP,1.00,30-03-2015,65.42,THERMAL,TRIPURA,CENTER,NEEPCO,GAS,-,448.33,106.28,0.00,0.00,201555.56,0.00,201555.56,0.45,
,47.00,MONARCHAK CCPP (ST),2.00,14-01-2016,35.60,THERMAL,TRIPURA,CENTER,NEEPCO,GAS,-,186.97,44.32,0.00,0.00,84057.30,0.00,84057.30,0.45,
,48.00,NAMRUP GT,0.00,,139.40,THERMAL,ASSAM,STATE,ASEB,GAS,-,794.95,226.09,0.00,0.00,430597.96,0.00,430597.96,0.54,
,48.00,NAMRUP GT,2.00,01-04-1965,17.00,THERMAL,ASSAM,STATE,ASEB,GAS,-,28.91,14.71,0.00,0.00,28014.23,0.00,28014.23,0.97,
,48.00,NAMRUP GT,3.00,01-04-1965,15.00,THERMAL,ASSAM,STATE,ASEB,GAS,-,70.36,35.74,0.00,0.00,68071.12,0.00,68071.12,0.97,
,48.00,NAMRUP GT,7.00,11-01-2017,62.25,THERMAL,ASSAM,STATE,ASEB,GAS,-,501.55,120.21,0.00,0.00,228935.75,0.00,228935.75,0.46,
,48.00,NAMRUP ST,8.00,17-05-2020,36.15,THERMAL,ASSAM,STATE,ASEB,GAS,-,167.59,40.26,0.00,0.00,76685.74,0.00,76685.74,0.46,
,48.00,NAMRUP WHR,6.00,01-04-1985,9.00,THERMAL,ASSAM,STATE,ASEB,GAS,-,26.54,15.17,0.00,0.00,28891.12,0.00,28891.12,1.09,
,49.00,P.NALLUR CCGT,0.00,,330.50,THERMAL,TAMIL NADU,PVT,PPNPG,NAPT,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,49.00,P.NALLUR CCGT,1.00,22-02-2001,225.00,THERMAL,TAMIL NADU,PVT,PPNPG,NAPT,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,49.00,P.NALLUR CCGT,1.00,22-02-2001,105.50,THERMAL,TAMIL NADU,PVT,PPNPG,NAPT,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,50.00,PAGUTHAN,0.00,,655.00,THERMAL,GUJARAT,PVT,GPEC,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,50.00,PAGUTHAN,1.00,10-10-1997,135.00,THERMAL,GUJARAT,PVT,GPEC,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,50.00,PAGUTHAN,2.00,02-06-1998,135.00,THERMAL,GUJARAT,PVT,GPEC,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,50.00,PAGUTHAN,3.00,03-06-1998,135.00,THERMAL,GUJARAT,PVT,GPEC,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,50.00,PAGUTHAN,4.00,11-12-1998,250.00,THERMAL,GUJARAT,PVT,GPEC,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,0.00,,175.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,1.00,31-03-1989,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,2.00,20-07-1989,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,3.00,11-12-1989,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,4.00,07-01-1994,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,5.00,07-02-1994,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,6.00,24-04-1994,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,51.00,PAMPORE GT,7.00,31-01-1994,25.00,THERMAL,JAMMU & KASHMIR,STATE,JKEB,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,52.00,PEDDAPURAM CCGT(Samalkot),0.00,,220.00,THERMAL,ANDHRA PRADESH,PVT,REL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,52.00,PEDDAPURAM CCGT(Samalkot),1.00,08-11-2002,142.00,THERMAL,ANDHRA PRADESH,PVT,REL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,52.00,PEDDAPURAM CCGT(Samalkot),2.00,08-11-2002,78.00,THERMAL,ANDHRA PRADESH,PVT,REL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,53.00,PIPAVAV CCCP,0.00,,702.00,THERMAL,GUJARAT,STATE,GSECL,GAS,-,248.97,65.13,0.00,0.00,124427.02,0.00,124427.02,0.50,
,53.00,PIPAVAV CCCP,1.00,27-03-2013,351.00,THERMAL,GUJARAT,STATE,GSECL,GAS,-,66.66,18.57,0.00,0.00,35548.99,0.00,35548.99,0.53,CDM#9675
,53.00,PIPAVAV CCCP,2.00,05-02-2014,351.00,THERMAL,GUJARAT,STATE,GSECL,GAS,-,182.31,46.56,0.00,0.00,88878.03,0.00,88878.03,0.49,CDM#9675
,54.00,PRAGATI CCCP -III,0.00,,1500.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,2546.99,515.32,0.00,0.00,1005274.34,0.00,1005274.34,0.39,
,54.00,PRAGATI CCCP -III(1),1.00,24-10-2010,250.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,694.34,140.48,0.00,0.00,274049.66,0.00,274049.66,0.39,
,54.00,PRAGATI CCCP -III(2),2.00,14-02-2011,250.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,616.38,124.71,0.00,0.00,243279.74,0.00,243279.74,0.39,
,54.00,PRAGATI CCCP -III(3) WHR,3.00,27-06-2012,250.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,709.17,143.48,0.00,0.00,279902.32,0.00,279902.32,0.39,
,54.00,PRAGATI CCCP -III(4),4.00,07-05-2013,250.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,185.71,37.57,0.00,0.00,73299.67,0.00,73299.67,0.39,
,54.00,PRAGATI CCCP -III(5),5.00,26-02-2014,250.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,153.63,31.08,0.00,0.00,60634.50,0.00,60634.50,0.39,
,54.00,PRAGATI CCCP -III(6) WHR,6.00,27-03-2014,250.00,THERMAL,DELHI,STATE,PRAGATI POWER,GAS,-,187.76,37.99,0.00,0.00,74108.45,0.00,74108.45,0.39,
,55.00,PRAGATI CCGT,0.00,,330.40,THERMAL,DELHI,STATE,IPGPCL,GAS,-,818.18,179.75,0.00,0.00,351820.09,0.00,351820.09,0.43,
,55.00,PRAGATI CCGT,1.00,15-03-2002,104.60,THERMAL,DELHI,STATE,IPGPCL,GAS,-,188.93,41.51,0.00,0.00,81239.61,0.00,81239.61,0.43,
,55.00,PRAGATI CCGT,2.00,09-11-2002,104.60,THERMAL,DELHI,STATE,IPGPCL,GAS,-,331.38,72.80,0.00,0.00,142495.15,0.00,142495.15,0.43,
,55.00,PRAGATI CCGT ,3.00,31-01-2003,121.20,THERMAL,DELHI,STATE,IPGPCL,GAS,-,297.87,65.44,0.00,0.00,128085.33,0.00,128085.33,0.43,
,56.00,R. GANDHI CCPP,0.00,,359.58,THERMAL,KERALA,CENTER,NTPC,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,56.00,R. GANDHI CCPP,1.00,02-11-1998,115.20,THERMAL,KERALA,CENTER,NTPC,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,56.00,R. GANDHI CCPP,2.00,28-02-1999,115.20,THERMAL,KERALA,CENTER,NTPC,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,56.00,R. GANDHI CCPP,3.00,30-10-1999,129.18,THERMAL,KERALA,CENTER,NTPC,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,57.00,RAMGARH GT,0.00,,273.50,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,726.84,313.69,0.00,0.63,292751.17,1.41,292752.58,0.40,
,57.00,RAMGARH GT-1,1.00,03-03-1994,3.00,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,57.00,RAMGARH GT-2,2.00,12-01-1996,35.50,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,199.53,111.73,0.00,0.45,101981.73,1.01,101982.74,0.51,
,57.00,RAMGARH GT-3 ,3.00,07-08-2002,37.50,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,57.00,RAMGARH GT-4  WHR,4.00,31-03-2003,37.50,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,77.41,43.35,0.00,0.18,39565.87,0.39,39566.26,0.51,
,57.00,RAMGARH GT-5,5.00,20-03-2013,110.00,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,329.89,116.31,0.00,0.00,110870.18,0.00,110870.18,0.34,
,57.00,RAMGARH GT-6 WHR,6.00,01-05-2014,50.00,THERMAL,RAJASTHAN,STATE,RRVUNL,GAS,DISL,120.01,42.31,0.00,0.00,40333.40,0.00,40333.40,0.34,
,58.00,RATNAGIRI GAS,0.00,,1967.08,THERMAL,MAHARASHTRA,CENTER,RATNAGIRI/ NTPC JV,GAS,NAPT,1182.93,247.17,0.00,0.00,488000.66,0.00,488000.66,0.41,
,58.00,RATNAGIRI GAS ,1.00,11-12-1998,205.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,58.00,RATNAGIRI GAS ,2.00,11-12-1998,205.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,58.00,RATNAGIRI GAS ,3.00,11-12-1998,230.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,58.00,RATNAGIRI GAS ,5.00,30-04-2006,213.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,258.20,53.95,0.00,0.00,106516.69,0.00,106516.69,0.41,
,58.00,RATNAGIRI GAS ,6.00,07-05-2006,213.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,258.20,53.95,0.00,0.00,106516.69,0.00,106516.69,0.41,
,58.00,RATNAGIRI GAS ,7.00,14-05-2006,237.54,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,287.90,60.15,0.00,0.00,118768.62,0.00,118768.62,0.41,
,58.00,RATNAGIRI GAS ,8.00,28-10-2007,213.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,121.55,25.40,0.00,0.00,50143.65,0.00,50143.65,0.41,
,58.00,RATNAGIRI GAS ,9.00,28-10-2007,213.00,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,121.55,25.40,0.00,0.00,50143.65,0.00,50143.65,0.41,
,58.00,RATNAGIRI GAS ,10.00,28-10-2007,237.54,THERMAL,MAHARASHTRA,PVT,RATNAGIRI,GAS,NAPT,135.53,28.32,0.00,0.00,55911.35,0.00,55911.35,0.41,
,59.00,RITHALA CCCP,0.00,,108.00,THERMAL,DELHI,PVT,NDPL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,59.00,RITHALA CCCP,1.00,04-10-2010,35.75,THERMAL,DELHI,PVT,NDPL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,59.00,RITHALA CCCP,2.00,06-12-2010,35.75,THERMAL,DELHI,PVT,NDPL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,59.00,RITHALA CCCP WHR,3.00,08-07-2011,36.50,THERMAL,DELHI,PVT,NDPL,GAS,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,60.00,ROKHIA GT,0.00,,63.00,THERMAL,TRIPURA,STATE,TSECL,GAS,-,324.10,141.00,0.00,0.00,241895.60,0.00,241895.60,0.75,
,60.00,ROKHIA GT,7.00,11-07-2002,21.00,THERMAL,TRIPURA,STATE,TSECL,GAS,-,158.81,69.09,0.00,0.00,118531.29,0.00,118531.29,0.75,
,60.00,ROKHIA GT,8.00,31-03-2006,21.00,THERMAL,TRIPURA,STATE,TSECL,GAS,-,15.90,6.92,0.00,0.00,11866.58,0.00,11866.58,0.75,
,60.00,ROKHIA GT,9.00,31-08-2013,21.00,THERMAL,TRIPURA,STATE,TSECL,GAS,-,149.39,64.99,0.00,0.00,111497.74,0.00,111497.74,0.75,
,61.00,SAMALPATTI DG,0.00,,105.70,THERMAL,TAMIL NADU,PVT,SAMALPATI,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,61.00,SAMALPATTI DG,1.00,01-03-2001,105.70,THERMAL,TAMIL NADU,PVT,SAMALPATI,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,62.00,SAMAYANALLUR DG,0.00,,106.00,THERMAL,TAMIL NADU,PVT,MADURAI P,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,62.00,SAMAYANALLUR DG,1,22-09-2001,15.14,THERMAL,TAMIL NADU,PVT,MADURAI P,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,63.00,SAMAYANALLUR DG,2,22-09-2001,15.14,THERMAL,TAMIL NADU,PVT,MADURAI P,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,64.00,SAMAYANALLUR DG,3,22-09-2001,15.14,THERMAL,TAMIL NADU,PVT,MADURAI P,DISL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
